director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
David Yates,Djimon Hounsou,Bentley Kalu,Madeleine Worrall,Fantasy  Action  Adventure,the legend of tarzan,Djimon Hounsou Bentley Kalu Madeleine Worrall David Yates Fantasy  Action  Adventure
Guy Ritchie,Jack O'Connor,Elle Black,Jordan Long,Comedy  Crime,the gentlemen,Jack O'Connor Elle Black Jordan Long Guy Ritchie Comedy  Crime
Emile Ardolino,Lonny Price,Thomas Cannold,Dwayne Malphus,Drama  Music  Romance,dirty dancing,Lonny Price Thomas Cannold Dwayne Malphus Emile Ardolino Drama  Music  Romance
Antoine Fuqua,Brett Sorenson,Noel Gugliemi,Charlotte Ayanna,Action  Crime  Drama,training day,Brett Sorenson Noel Gugliemi Charlotte Ayanna Antoine Fuqua Action  Crime  Drama
Simon West,Ray Donn,Angelina Jolie,Jon Voight,Adventure  Action  Fantasy,lara croft: tomb raider,Ray Donn Angelina Jolie Jon Voight Simon West Adventure  Action  Fantasy
Gary Shore,Gretta Shore,Joe Benjamin,Bobby Marno,Horror  Action  Fantasy,dracula untold,Gretta Shore Joe Benjamin Bobby Marno Gary Shore Horror  Action  Fantasy
Michael Chaves,Ruairí O'Connor,Vince Pisani,Paul Wilson,Horror  Mystery  Thriller,the conjuring: the devil made me do it,Ruairí O'Connor Vince Pisani Paul Wilson Michael Chaves Horror  Mystery  Thriller
Steven Soderbergh,Robert Chi,Abby Wait,Sarah Kliban,Drama  Thriller  Science Fiction,contagion,Robert Chi Abby Wait Sarah Kliban Steven Soderbergh Drama  Thriller  Science Fiction
Joachim Rønning,Jenn Murray,Richard Keep,Lonyo Engele,Family  Fantasy  Adventure,maleficent: mistress of evil,Jenn Murray Richard Keep Lonyo Engele Joachim Rønning Family  Fantasy  Adventure
Chris Williams,Ronn Moss,Greg Germann,Kelly Hoover,Animation  Family  Adventure  Comedy,bolt,Ronn Moss Greg Germann Kelly Hoover Chris Williams Animation  Family  Adventure  Comedy
Martin Scorsese,Roy Conrad,Linda Perri,Frankie Avalon,Crime  Drama,casino,Roy Conrad Linda Perri Frankie Avalon Martin Scorsese Crime  Drama
Robert Rodriguez,Greg Nicotero,Danny Trejo,Janine Jordae,Horror  Action  Thriller  Crime,from dusk till dawn,Greg Nicotero Danny Trejo Janine Jordae Robert Rodriguez Horror  Action  Thriller  Crime
Roland Emmerich,Tyler Kurtz,Donovan Tyee Smith,Jason E. Hill,Action  Adventure  Science Fiction,independence day: resurgence,Tyler Kurtz Donovan Tyee Smith Jason E. Hill Roland Emmerich Action  Adventure  Science Fiction
Rob Reiner,Andy Lindberg,Bradley Gregg,Kenneth Hodges,Crime  Drama,stand by me,Andy Lindberg Bradley Gregg Kenneth Hodges Rob Reiner Crime  Drama
Isao Takahata,Masayo Sakai,Akemi Yamaguchi,Ayano Shiraishi,Animation  Drama  War,grave of the fireflies,Masayo Sakai Akemi Yamaguchi Ayano Shiraishi Isao Takahata Animation  Drama  War
Robert Zemeckis,Pam Smith,Brian Geraghty,Hal Williams,Drama,flight,Pam Smith Brian Geraghty Hal Williams Robert Zemeckis Drama
Christopher Miller,John Cygan,Melissa Sturm,Neil Patrick Harris,Animation  Comedy  Family,cloudy with a chance of meatballs,John Cygan Melissa Sturm Neil Patrick Harris Christopher Miller Animation  Comedy  Family
Tommy Wirkola,Ioachim Ciobanu,Judith Bogner,Christian Rubeck,Science Fiction  Thriller  Mystery  Action,what happened to monday,Ioachim Ciobanu Judith Bogner Christian Rubeck Tommy Wirkola Science Fiction  Thriller  Mystery  Action
Josh Trank,Gretchen Koerner,Ravi Naidu,Barney Lanning,Action  Adventure  Science Fiction,fantastic four,Gretchen Koerner Ravi Naidu Barney Lanning Josh Trank Action  Adventure  Science Fiction
Joe Pytka,Joey Camen,Barbara Anne Klein,Dylan Tucker,Comedy  Animation  Family  Science Fiction,space jam,Joey Camen Barbara Anne Klein Dylan Tucker Joe Pytka Comedy  Animation  Family  Science Fiction
Mark Steven Johnson,Daniel Frederiksen,Marcus Jones,Peter Fonda,Thriller  Action  Fantasy,ghost rider,Daniel Frederiksen Marcus Jones Peter Fonda Mark Steven Johnson Thriller  Action  Fantasy
Jonathan Levine,Debbie Wong,Billie Calmeau,Teresa Palmer,Horror  Comedy  Romance,warm bodies,Debbie Wong Billie Calmeau Teresa Palmer Jonathan Levine Horror  Comedy  Romance
Neil Jordan,Brad Pitt,Roger Lloyd Pack,John McConnell,Horror  Drama  Fantasy,interview with the vampire,Brad Pitt Roger Lloyd Pack John McConnell Neil Jordan Horror  Drama  Fantasy
Paul Feig,Jude Law,Dimitri Andreas,Nargis Fakhri,Action  Comedy  Crime,spy,Jude Law Dimitri Andreas Nargis Fakhri Paul Feig Action  Comedy  Crime
Lana Wachowski,Keanu Reeves,Lambert Wilson,James D. Weston II,Science Fiction  Action  Adventure,the matrix resurrections,Keanu Reeves Lambert Wilson James D. Weston II Lana Wachowski Science Fiction  Action  Adventure
Denis Villeneuve,Alexis Uiga,Sarah Gadon,Paul Stephen,Thriller  Mystery,enemy,Alexis Uiga Sarah Gadon Paul Stephen Denis Villeneuve Thriller  Mystery
Jennifer Kent,Pippa Wanganeen,Sophie Riggs,Craig Behenna,Drama  Horror,the babadook,Pippa Wanganeen Sophie Riggs Craig Behenna Jennifer Kent Drama  Horror
Rawson Marshall Thurber,Jay Romero,Robert Mata,Daniel Bernhardt,Action  Comedy  Crime,red notice,Jay Romero Robert Mata Daniel Bernhardt Rawson Marshall Thurber Action  Comedy  Crime
Kenneth Lonergan,Brian Chamberlain,Matthew Broderick,Kara Hayward,Drama,manchester by the sea,Brian Chamberlain Matthew Broderick Kara Hayward Kenneth Lonergan Drama
Larry Charles,Anna Katarina,Alan Cox,Aasif Mandvi,Comedy,the dictator,Anna Katarina Alan Cox Aasif Mandvi Larry Charles Comedy
Brian Fee,Mikey Kelley,David H. Lawrence XVII,Cathy Cavadini,Animation  Adventure  Comedy  Drama  Family,cars 3,Mikey Kelley David H. Lawrence XVII Cathy Cavadini Brian Fee Animation  Adventure  Comedy  Drama  Family
Paul Verhoeven,Debbie Lee Carrington,Morgan Lofting,Benny Corral,Action  Adventure  Science Fiction,total recall,Debbie Lee Carrington Morgan Lofting Benny Corral Paul Verhoeven Action  Adventure  Science Fiction
Renny Harlin,John Amos,Amanda Hillwood,Jason Ross-Azikiwe,Action  Thriller,die hard 2,John Amos Amanda Hillwood Jason Ross-Azikiwe Renny Harlin Action  Thriller
Francis Lawrence,Louis Hofmann,Jennifer Lawrence,Bálint Adorjáni,Thriller  Mystery,red sparrow,Louis Hofmann Jennifer Lawrence Bálint Adorjáni Francis Lawrence Thriller  Mystery
Terry Jones,Graham Chapman,Terry Gilliam,Charles Knode,Adventure  Comedy  Fantasy,monty python and the holy grail,Graham Chapman Terry Gilliam Charles Knode Terry Jones Adventure  Comedy  Fantasy
Rawson Marshall Thurber,Dwayne Johnson,Phil Reeves,Melissa McCarthy,Action  Comedy,central intelligence,Dwayne Johnson Phil Reeves Melissa McCarthy Rawson Marshall Thurber Action  Comedy
Tom Shadyac,Antoni Corone,Courteney Cox,Dan Marino,Comedy  Mystery  Crime,ace ventura: pet detective,Antoni Corone Courteney Cox Dan Marino Tom Shadyac Comedy  Mystery  Crime
Jay Roach,Ina Rosenthal,Mark Hammer,Marci Reid,Comedy  Romance,meet the parents,Ina Rosenthal Mark Hammer Marci Reid Jay Roach Comedy  Romance
Tim Burton,Daniel Lusardi,Laura Sanchez,Nick Haverson,Drama  Horror,sweeney todd: the demon barber of fleet street,Daniel Lusardi Laura Sanchez Nick Haverson Tim Burton Drama  Horror
Wes Anderson,John Franchi,Jordan Puzzo,Steve Smith,Comedy  Drama  Romance,moonrise kingdom,John Franchi Jordan Puzzo Steve Smith Wes Anderson Comedy  Drama  Romance
Alfred Hitchcock,Raymond Bailey,Sara Taft,Forbes Murray,Mystery  Romance  Thriller,vertigo,Raymond Bailey Sara Taft Forbes Murray Alfred Hitchcock Mystery  Romance  Thriller
David Fincher,Phil Davis,Danny Webb,Christopher John Fields,Science Fiction  Action  Horror,alien³,Phil Davis Danny Webb Christopher John Fields David Fincher Science Fiction  Action  Horror
Ridley Scott,Pavel Vokoun,Ron Eldard,Eric Bana,Action  War  History,black hawk down,Pavel Vokoun Ron Eldard Eric Bana Ridley Scott Action  War  History
Spike Lee,James Ransone,Ashlie Atkinson,Cassandra Freeman,Crime  Drama  Thriller,inside man,James Ransone Ashlie Atkinson Cassandra Freeman Spike Lee Crime  Drama  Thriller
Antoine Fuqua,Tim Halpin,Ethan Hawke,Jackson Beals,Adventure  Action  Western,the magnificent seven,Tim Halpin Ethan Hawke Jackson Beals Antoine Fuqua Adventure  Action  Western
Greg Berlanti,Alexandra Shipp,Robbie Rogers,Philip Covin,Comedy  Drama  Romance,"love, simon",Alexandra Shipp Robbie Rogers Philip Covin Greg Berlanti Comedy  Drama  Romance
Len Wiseman,Chris Ellis,Matt McColm,Mary Elizabeth Winstead,Action  Thriller,live free or die hard,Chris Ellis Matt McColm Mary Elizabeth Winstead Len Wiseman Action  Thriller
Simon McQuoid,Sisi Stringer,Bingchen Ye,Jessica McNamee,Action  Fantasy  Adventure,mortal kombat,Sisi Stringer Bingchen Ye Jessica McNamee Simon McQuoid Action  Fantasy  Adventure
Wilfred Jackson,Ed Wynn,Kathryn Beaumont,Max Smith,Animation  Family  Fantasy  Adventure,alice in wonderland,Ed Wynn Kathryn Beaumont Max Smith Wilfred Jackson Animation  Family  Fantasy  Adventure
Louis Leterrier,Jason Statham,Gal Gadot,Alexander Capon,Action  Crime  Thriller,fast x,Jason Statham Gal Gadot Alexander Capon Louis Leterrier Action  Crime  Thriller
Ang Lee,Cara Buono,Jesse Corti,Jennifer Connelly,Science Fiction  Adventure  Action,hulk,Cara Buono Jesse Corti Jennifer Connelly Ang Lee Science Fiction  Adventure  Action
